Region,Model,Reserve Time,Initial Valve Estimate,Quarter,Order Date,,,,
US,256GB,1626458718,Q1,Q2,1651509600,,,,
US,256GB,1626458719,Q1,Q2,1651509240,,,,
US,256GB,1626458725,Q1,Q2,1651510385,,,,
US,256GB,1626458726,Q1,Q2,1651509720,,,,
US,256GB,1626458731,Q1,Q2,1651509660,,,,
US,256GB,1626458731,Q1,Q2,1651509764,,,,
US,256GB,1626458741,Q1,Q2,1651509930,,,,
US,256GB,1626458749,Q1,Q2,1651495020,,,,
US,256GB,1626458760,Q1,Q2,1651509420,,,,
US,256GB,1626458798,Q1,Q2,1651509600,,,,
US,256GB,1626459072,Q1,Q2,1651768888,,,,
US,256GB,1626459095,Q1,Q2,1651529724,,,,
US,256GB,1626459106,Q1,Q2,1651509240,,,,
US,256GB,1626459107,Q1,Q2,1651509180,,,,
US,256GB,1626459107,Q1,Q2,1651509889,,,,
US,256GB,1626459120,Q1,Q2,1651768620,,,,
US,256GB,1626459124,Q1,Q2,1651769160,,,,
US,256GB,1626459126,Q1,Q2,1651769034,,,,
US,256GB,1626459127,Q1,Q2,1651761938,,,,
US,256GB,1626459135,Q1,Q2,1651768860,,,,
US,256GB,1626459135,Q1,Q2,1651768926,,,,
US,256GB,1626459139,Q1,Q2,1651766640,,,,
US,256GB,1626459356,Q1,Q2,1651768800,,,,
US,256GB,1626459358,Q1,Q2,1651768740,,,,
US,256GB,1626459367,Q1,Q2,1651768560,,,,
US,256GB,1626459404,Q1,Q2,1651768918,,,,
US,256GB,1626459415,Q1,Q2,1651770709,,,,
US,256GB,1626459425,Q1,Q2,1652114280,,,,
US,256GB,1626459442,Q1,Q2,1652099700,,,,
US,256GB,1626459448,Q1,Q2,1652114580,,,,
US,256GB,1626459449,Q1,Q2,1652120249,,,,
US,256GB,1626459479,Q1,Q2,1652114100,,,,
US,256GB,1626459899,Q1,Q2,1652114280,,,,
US,256GB,1626459903,Q1,Q2,1652115346,,,,
US,256GB,1626459913,Q1,Q2,1652114900,,,,
US,256GB,1626459986,Q1,Q2,1652114400,,,,
US,256GB,1626460050,Q1,Q2,1652114160,,,,
US,256GB,1626460058,Q1,Q2,1652114258,,,,
US,256GB,1626460066,Q1,Q2,1652114100,,,,
US,256GB,1626460078,Q1,Q2,1652114858,,,,
US,256GB,1626460078,Q1,Q2,1652114580,,,,
US,256GB,1626460149,Q1,Q2,1652114280,,,,
US,256GB,1626460316,Q1,Q2,1651769040,,,,
US,256GB,1626460318,Q1,Q2,1652114603,,,,
US,256GB,1626460320,Q1,Q2,1652114340,,,,
US,256GB,1626460320,Q1,Q2,1652114103,,,,
US,256GB,1626460337,Q1,Q2,1652114470,,,,
US,256GB,1626460356,Q1,Q2,1652114100,,,,
US,256GB,1626460439,Q1,Q2,1652114460,,,,
US,256GB,1626460440,Q1,Q2,1652373900,,,,
US,256GB,1626460474,Q1,Q2,1652373269,,,,
US,256GB,1626460478,Q1,Q2,1652374800,,,,
US,256GB,1626460519,Q1,Q2,1652355840,,,,
US,256GB,1626460521,Q1,Q2,1652373420,,,,
US,256GB,1626460522,Q1,Q2,1652373360,,,,
US,256GB,1626460560,Q1,Q2,1652375245,,,,
US,256GB,1626460806,Q1,Q2,1652373300,,,,
US,256GB,1626460972,Q1,Q2,1652373360,,,,
US,256GB,1626461103,Q1,Q2,1652373240,,,,
US,256GB,1626461126,Q1,Q2,1652358900,,,,
US,256GB,1626461145,Q1,Q2,1652373436,,,,
US,256GB,1626461146,Q1,Q2,1652373503,,,,
US,256GB,1626461367,Q1,Q2,1652373303,,,,
US,256GB,1626461431,Q1,Q2,1652348160,,,,
US,256GB,1626461439,Q1,Q2,1652719234,,,,
US,256GB,1626461441,Q1,Q2,1652718900,,,,
US,256GB,1626461638,Q1,Q2,1652719020,,,,
US,256GB,1626461915,Q1,Q2,1652718906,,,,
US,256GB,1626461997,Q1,Q2,1652719380,,,,
US,256GB,1626462061,Q1,Q2,1652720776,,,,
US,256GB,1626462137,Q1,Q2,1652719457,,,,
US,256GB,1626462152,Q1,Q2,1652719380,,,,
US,256GB,1626462180,Q1,Q2,1652718635,,,,
US,256GB,1626462185,Q1,Q2,1652700840,,,,
US,256GB,1626462300,Q1,Q2,1652718890,,,,
US,256GB,1626462309,Q1,Q2,1652719140,,,,
US,256GB,1626462359,Q1,Q2,1652719128,,,,
US,64GB,1626456507,Q1,Q2,1649068440,,,,
US,64GB,1626456608,Q1,Q2,1649089800,,,,
US,64GB,1626456725,Q1,Q2,1649349180,,,,
US,64GB,1626456963,Q1,Q2,1649349131,,,,
US,64GB,1626457052,Q1,Q2,1649362467,,,,
US,64GB,1626457261,Q1,Q2,1649694688,,,,
US,64GB,1626457278,Q1,Q2,1649694682,,,,
US,64GB,1626457286,Q1,Q2,1649694600,,,,
US,64GB,1626457522,Q1,Q2,1649705617,,,,
US,64GB,1626457662,Q1,Q2,1649694706,,,,
US,64GB,1626457667,Q1,Q2,1649694600,,,,
US,64GB,1626457669,Q1,Q2,1649694689,,,,
US,64GB,1626457670,Q1,Q2,1649694600,,,,
US,64GB,1626458169,Q1,Q2,1649954804,,,,
US,64GB,1626458335,Q1,Q2,1649928600,,,,
US,64GB,1626458574,Q1,Q2,1650318593,,,,
US,64GB,1626458722,Q1,Q2,1650300723,,,,
US,64GB,1626458727,Q1,Q2,1650299460,,,,
US,64GB,1626458736,Q1,Q2,1650299760,,,,
US,64GB,1626459134,Q1,Q2,1650299400,,,,
US,64GB,1626459134,Q1,Q2,1650301080,,,,
US,64GB,1626459356,Q1,Q2,1650559800,,,,
US,64GB,1626459429,Q1,Q2,1650559715,,,,
US,64GB,1626459898,Q1,Q2,1650904320,,,,
US,64GB,1626460469,Q1,Q2,1650904200,,,,
US,64GB,1626460478,Q1,Q2,1650904200,,,,
US,64GB,1626460500,Q1,Q2,1650904333,,,,
US,64GB,1626460517,Q1,Q2,1650904295,,,,
US,64GB,1626460530,Q1,Q2,1650920160,,,,
US,64GB,1626460544,Q1,Q2,1650904315,,,,
US,64GB,1626461447,Q1,Q2,1651178283,,,,
US,64GB,1626462238,Q1,Q2,1651509113,,,,
US,64GB,1626462310,Q1,Q2,1651509033,,,,
US,64GB,1626462349,Q1,Q2,1651509000,,,,
US,64GB,1626462600,Q1,Q2,1651509000,,,,
US,64GB,1626462816,Q1,Q2,1651509410,,,,
US,64GB,1626463441,Q1,Q2,1651768260,,,,
US,64GB,1626463482,Q1,Q2,1651768260,,,,
US,64GB,1626463504,Q1,Q2,1651768260,,,,
US,64GB,1626464144,Q1,Q2,1652113972,,,,
US,64GB,1626464177,Q1,Q2,1652113800,,,,
US,64GB,1626464275,Q1,Q2,1652114242,,,,
US,64GB,1626464564,Q1,Q2,1652099400,,,,
US,64GB,1626464780,Q1,Q2,1652371380,,,,
US,64GB,1626464940,Q1,Q2,1652373060,,,,
US,64GB,1626465257,Q1,Q2,1652376778,,,,
US,64GB,1626465423,Q1,Q2,1652718780,,,,
US,64GB,1626465655,Q1,Q2,1652719150,,,,
US,64GB,1626466069,Q1,Q2,1652719155,,,,
US,64GB,1626466169,Q1,Q2,1652718720,,,,
US,512GB,1626454876,Q1,Q1,1652374516,,,,
US,512GB,1626455221,Q1,Q1,1647880964,,,,
US,512GB,1626455224,Q1,Q1,1647880920,,,,
US,512GB,1626455225,Q1,Q1,1647855660,,,,
US,512GB,1626455225,Q1,Q1,1647880860,,,,
US,512GB,1626455234,Q1,Q1,1648485780,,,,
US,256GB,1626455389,Q1,Q1,1647880816,,,,
US,256GB,1626455429,Q1,Q1,1647880598,,,,
US,256GB,1626455468,Q1,Q1,1647880440,,,,
US,64GB,1626455740,Q1,Q1,1647275640,,,,
UK,512GB,1626455084,Q1,Q1,1647880788,,,,
UK,512GB,1626455102,Q1,Q1,1647880860,,,,
UK,512GB,1626455157,Q1,Q1,1647880800,,,,
UK,512GB,1626455221,Q1,Q2,1649091240,,,,
UK,512GB,1626455250,Q1,Q2,1649350200,,,,
UK,512GB,1626455251,Q1,Q2,1649350027,,,,
UK,512GB,1626455269,Q1,Q2,1649349900,,,,
UK,512GB,1626455442,Q1,Q2,1649695842,,,,
UK,512GB,1626455471,Q1,Q2,1649958420,,,,
UK,512GB,1626455501,Q1,Q2,1649955000,,,,
UK,512GB,1626455524,Q1,Q2,1650307141,,,,
UK,256GB,1626455595,Q1,Q2,1649349600,,,,
UK,512GB,1626455597,Q1,Q2,1650559392,,,,
UK,256GB,1626455598,Q1,Q2,1649372768,,,,
UK,256GB,1626455612,Q1,Q2,1649352942,,,,
UK,512GB,1626455613,Q1,Q2,1650903027,,,,
UK,512GB,1626455634,Q1,Q2,1651164288,,,,
UK,512GB,1626455652,Q1,Q2,1651164782,,,,
UK,512GB,1626455705,Q1,Q2,1651772359,,,,
UK,256GB,1626455712,Q1,Q2,1649695298,,,,
UK,512GB,1626455758,Q1,Q2,1651769220,,,,
UK,512GB,1626455768,Q1,Q2,1652114880,,,,
UK,256GB,1626455781,Q1,Q2,1649954400,,,,
UK,512GB,1626455869,Q1,Q2,1652114700,,,,
UK,512GB,1626455877,Q1,Q2,1652374015,,,,
UK,256GB,1626455878,Q1,Q2,1650299648,,,,
UK,512GB,1626455879,Q1,Q2,1652377606,,,,
UK,256GB,1626455892,Q1,Q2,1650301200,,,,
UK,512GB,1626455900,Q1,Q2,1652725236,,,,
UK,256GB,1626455915,Q1,Q2,1650559320,,,,
UK,256GB,1626455981,Q1,Q2,1650563148,,,,
UK,256GB,1626456104,Q1,Q2,1650908277,,,,
UK,256GB,1626456159,Q1,Q2,1651163880,,,,
UK,256GB,1626456180,Q1,Q2,1651167360,,,,
UK,256GB,1626456193,Q1,Q2,1651165768,,,,
UK,256GB,1626456503,Q1,Q2,1651767918,,,,
UK,256GB,1626457056,Q1,Q2,1652373519,,,,
UK,256GB,1626457280,Q1,Q2,1652373859,,,,
UK,256GB,1626457290,Q1,Q2,1652719140,,,,
UK,256GB,1626457301,Q1,Q2,1652722980,,,,
UK,256GB,1626457304,Q1,Q2,1652719200,,,,
UK,256GB,1626457596,Q1,Q2,1652718905,,,,
UK,256GB,1626457627,Q1,Q2,1652720273,,,,
UK,64GB,1626458170,Q1,Q2,1649349180,,,,
UK,64GB,1626459883,Q1,Q2,1649695090,,,,
UK,64GB,1626460320,Q1,Q2,1649694660,,,,
UK,64GB,1626460320,Q1,Q2,1649694660,,,,
UK,64GB,1626461144,Q1,Q2,1649695064,,,,
UK,64GB,1626461884,Q1,Q2,1649953800,,,,
UK,64GB,1626462356,Q1,Q2,1649953860,,,,
UK,64GB,1626465043,Q1,Q2,1650299569,,,,
UK,64GB,1626466340,Q1,Q2,1650530067,,,,
UK,64GB,1626467394,Q1,Q2,1650560010,,,,
UK,64GB,1626467966,Q1,Q2,1650904425,,,,
UK,64GB,1626469808,Q1,Q2,1650920947,,,,
UK,64GB,1626470161,Q1,Q2,1650904278,,,,
UK,64GB,1626470681,Q1,Q2,1651174755,,,,
UK,64GB,1626470780,Q1,Q2,1651163520,,,,
UK,64GB,1626476580,Q1,Q2,1651167111,,,,
UK,64GB,1626478210,Q1,Q2,1651509120,,,,
UK,64GB,1626478661,Q1,Q2,1651527738,,,,
UK,64GB,1626499380,Q1,Q2,1651768200,,,,
UK,64GB,1626503835,Q1,Q2,1651768080,,,,
UK,64GB,1626525651,Q1,Q2,1652718720,,,,
UK,64GB,1626525912,Q1,Q2,1652719749,,,,
EU,512GB,1626456702,Q1,Q2,1649090820,,,,
EU,512GB,1626456715,Q1,Q2,1649090924,,,,
EU,512GB,1626456975,Q1,Q2,1649091420,,,,
EU,512GB,1626456990,Q1,Q2,1649090906,,,,
EU,512GB,1626457054,Q1,Q2,1649091150,,,,
EU,512GB,1626457060,Q1,Q2,1649091480,,,,
EU,512GB,1626457293,Q1,Q2,1649091571,,,,
EU,512GB,1626457294,Q1,Q2,1649091600,,,,
EU,512GB,1626457295,Q1,Q2,1649091180,,,,
EU,512GB,1626457320,Q1,Q2,1649091060,,,,
EU,512GB,1626457667,Q1,Q2,1649350463,,,,
EU,512GB,1626457822,Q1,Q2,1649350224,,,,
EU,512GB,1626457836,Q1,Q2,1649350139,,,,
EU,512GB,1626457903,Q1,Q2,1649350795,,,,
EU,512GB,1626458036,Q1,Q2,1649350223,,,,
EU,512GB,1626458160,Q1,Q2,1649350920,,,,
EU,512GB,1626458367,Q1,Q2,1649353162,,,,
EU,512GB,1626458387,Q1,Q2,1649347605,,,,
EU,512GB,1626458412,Q1,Q2,1649350320,,,,
EU,512GB,1626458734,Q1,Q2,1649350380,,,,
EU,512GB,1626458743,Q1,Q2,1649351298,,,,
EU,512GB,1626458749,Q1,Q2,1649350721,,,,
EU,512GB,1626459135,Q1,Q2,1649350200,,,,
EU,512GB,1626459141,Q1,Q2,1649350380,,,,
EU,512GB,1626459142,Q1,Q2,1649351820,,,,
EU,512GB,1626459213,Q1,Q2,1649350020,,,,
EU,512GB,1626459352,Q1,Q2,1649695676,,,,
EU,512GB,1626459367,Q1,Q2,1649350098,,,,
EU,512GB,1626459392,Q1,Q2,1649695860,,,,
EU,512GB,1626459392,Q1,Q2,1649695537,,,,
EU,512GB,1626459398,Q1,Q2,1649696700,,,,
EU,512GB,1626459399,Q1,Q2,1649696040,,,,
EU,512GB,1626459402,Q1,Q2,1649696040,,,,
EU,512GB,1626459416,Q1,Q2,1649695620,,,,
EU,512GB,1626459426,Q1,Q2,1649695500,,,,
EU,512GB,1626459877,Q1,Q2,1649702711,,,,
EU,512GB,1626459908,Q1,Q2,1649696040,,,,
EU,512GB,1626460055,Q1,Q2,1649698222,,,,
EU,512GB,1626460313,Q1,Q2,1649695620,,,,
EU,512GB,1626460348,Q1,Q2,1649697310,,,,
EU,512GB,1626460481,Q1,Q2,1649695560,,,,
EU,512GB,1626460510,Q1,Q2,1649696720,,,,
EU,512GB,1626460528,Q1,Q2,1649695800,,,,
EU,512GB,1626460531,Q1,Q2,1649696040,,,,
EU,512GB,1626460532,Q1,Q2,1649707819,,,,
EU,512GB,1626460544,Q1,Q2,1649696100,,,,
EU,512GB,1626460595,Q1,Q2,1649954700,,,,
EU,512GB,1626460598,Q1,Q2,1649954700,,,,
EU,512GB,1626461130,Q1,Q2,1649954880,,,,
EU,512GB,1626461431,Q1,Q2,1649954640,,,,
EU,512GB,1626461442,Q1,Q2,1649954940,,,,
EU,512GB,1626461987,Q1,Q2,1649955307,,,,
EU,512GB,1626462001,Q1,Q2,1649955136,,,,
EU,512GB,1626462101,Q1,Q2,1649954640,,,,
EU,512GB,1626462235,Q1,Q2,1649955000,,,,
EU,512GB,1626462269,Q1,Q2,1649955060,,,,
EU,512GB,1626462317,Q1,Q2,1649955000,,,,
EU,512GB,1626462348,Q1,Q2,1649954881,,,,
EU,512GB,1626462352,Q1,Q2,1649955051,,,,
EU,512GB,1626462373,Q1,Q2,1649954880,,,,
EU,512GB,1626462395,Q1,Q2,1649958118,,,,
EU,512GB,1626462669,Q1,Q2,1649954649,,,,
EU,512GB,1626462912,Q1,Q2,1650300420,,,,
EU,512GB,1626463099,Q1,Q2,1650313077,,,,
EU,512GB,1626463111,Q1,Q2,1650300918,,,,
EU,512GB,1626463175,Q1,Q2,1650300360,,,,
EU,512GB,1626463256,Q1,Q2,1650300780,,,,
EU,512GB,1626463487,Q1,Q2,1650300720,,,,
EU,512GB,1626463490,Q1,Q2,1650300420,,,,
EU,512GB,1626463504,Q1,Q2,1650304800,,,,
EU,512GB,1626463740,Q1,Q2,1650300863,,,,
EU,512GB,1626463860,Q1,Q2,1650300960,,,,
EU,512GB,1626463996,Q1,Q2,1650301753,,,,
EU,512GB,1626464073,Q1,Q2,1650300742,,,,
EU,512GB,1626464421,Q1,Q2,1650560566,,,,
EU,512GB,1626464503,Q1,Q2,1650558720,,,,
EU,512GB,1626464648,Q1,Q2,1650562800,,,,
EU,512GB,1626464675,Q1,Q2,1650559074,,,,
EU,512GB,1626464716,Q1,Q2,1650568192,,,,
EU,512GB,1626464773,Q1,Q2,1650558913,,,,
EU,512GB,1626464813,Q1,Q2,1650552180,,,,
EU,512GB,1626464814,Q1,Q2,1650559800,,,,
EU,512GB,1626465113,Q1,Q2,1650559766,,,,
EU,512GB,1626465670,Q1,Q2,1650559082,,,,
EU,512GB,1626465808,Q1,Q2,1650559042,,,,
EU,512GB,1626466029,Q1,Q2,1650913946,,,,
EU,512GB,1626466112,Q1,Q2,1650905600,,,,
EU,512GB,1626466316,Q1,Q2,1650912843,,,,
EU,512GB,1626466319,Q1,Q2,1650906479,,,,
EU,512GB,1626466574,Q1,Q2,1650905610,,,,
EU,512GB,1626466578,Q1,Q2,1650913074,,,,
EU,512GB,1626466585,Q1,Q2,1650907364,,,,
EU,512GB,1626466715,Q1,Q2,1650905640,,,,
EU,512GB,1626466797,Q1,Q2,1650906720,,,,
EU,512GB,1626467042,Q1,Q2,1650906288,,,,
EU,512GB,1626467754,Q1,Q2,1650915710,,,,
EU,512GB,1626467839,Q1,Q2,1651164480,,,,
EU,512GB,1626468500,Q1,Q2,1651164596,,,,
EU,512GB,1626469077,Q1,Q2,1651164371,,,,
EU,512GB,1626469133,Q1,Q2,1651168604,,,,
EU,512GB,1626469317,Q1,Q2,1651164687,,,,
EU,512GB,1626469464,Q1,Q2,1651164722,,,,
EU,512GB,1626469667,Q1,Q2,1651164600,,,,
EU,512GB,1626469761,Q1,Q2,1651164540,,,,
EU,512GB,1626469928,Q1,Q2,1651164333,,,,
EU,512GB,1626470051,Q1,Q2,1651164720,,,,
EU,512GB,1626470170,Q1,Q2,1651153680,,,,
EU,512GB,1626470280,Q1,Q2,1651164720,,,,
EU,512GB,1626471963,Q1,Q2,1651510020,,,,
EU,512GB,1626472108,Q1,Q2,1651510620,,,,
EU,512GB,1626472389,Q1,Q2,1651510560,,,,
EU,512GB,1626472608,Q1,Q2,1651510380,,,,
EU,512GB,1626473557,Q1,Q2,1651512013,,,,
EU,512GB,1626474021,Q1,Q2,1651509600,,,,
EU,512GB,1626474939,Q1,Q2,1651509996,,,,
EU,512GB,1626475158,Q1,Q2,1651769639,,,,
EU,512GB,1626476784,Q1,Q2,1651769783,,,,
EU,512GB,1626477141,Q1,Q2,1651770902,,,,
EU,512GB,1626477428,Q1,Q2,1651769400,,,,
EU,512GB,1626477885,Q1,Q2,1651769160,,,,
EU,512GB,1626478628,Q1,Q2,1651769700,,,,
EU,512GB,1626479242,Q1,Q2,1651768860,,,,
EU,512GB,1626480120,Q1,Q2,1651771215,,,,
EU,512GB,1626484830,Q1,Q2,1651776700,,,,
EU,512GB,1626487757,Q1,Q2,1651772395,,,,
EU,512GB,1626497220,Q1,Q2,1652115480,,,,
EU,512GB,1626499198,Q1,Q2,1652115387,,,,
EU,512GB,1626499560,Q1,Q2,1652115000,,,,
EU,512GB,1626500383,Q1,Q2,1652114760,,,,
EU,512GB,1626502200,Q1,Q2,1652114880,,,,
EU,512GB,1626504427,Q1,Q2,1652114891,,,,
EU,512GB,1626505512,Q1,Q2,1652114760,,,,
EU,512GB,1626505560,Q1,Q2,1652115173,,,,
EU,512GB,1626508500,Q1,Q2,1652122500,,,,
EU,512GB,1626509408,Q1,Q2,1652375262,,,,
EU,512GB,1626509748,Q1,Q2,1652341730,,,,
EU,512GB,1626509966,Q1,Q2,1652381400,,,,
EU,512GB,1626510030,Q1,Q2,1652374367,,,,
EU,512GB,1626511086,Q1,Q2,1652374077,,,,
EU,512GB,1626511861,Q1,Q2,1652381800,,,,
EU,512GB,1626512608,Q1,Q2,1652367289,,,,
EU,512GB,1626513251,Q1,Q2,1652374296,,,,
EU,512GB,1626513399,Q1,Q2,1652374309,,,,
EU,512GB,1626513555,Q1,Q2,1652374560,,,,
EU,512GB,1626514920,Q1,Q2,1652719620,,,,
EU,512GB,1626515305,Q1,Q2,1652719719,,,,
EU,512GB,1626515330,Q1,Q2,1652719920,,,,
EU,512GB,1626515345,Q1,Q2,1652719680,,,,
EU,512GB,1626515521,Q1,Q2,1652720058,,,,
EU,512GB,1626515723,Q1,Q2,1652719586,,,,
EU,512GB,1626515820,Q1,Q2,1652719680,,,,
EU,512GB,1626517140,Q1,Q2,1652719378,,,,
EU,512GB,1626517569,Q1,Q2,1652717557,,,,
EU,512GB,1626518648,Q1,Q2,1652724058,,,,
EU,512GB,1626518898,Q1,Q2,1652722731,,,,
EU,512GB,1626521198,Q1,Q2,1652720331,,,,
EU,512GB,1626521238,Q1,Q2,1652720044,,,,
EU,512GB,1626521921,Q1,Q2,1652720196,,,,
EU,512GB,1626522600,Q1,Q2,1652719740,,,,
EU,512GB,1626455948,Q1,Q1,1647880860,,,,
EU,512GB,1626456175,Q1,Q1,1648485840,,,,
EU,64GB,1626465762,Q1,Q1,1647275460,,,,
EU,64GB,1626479275,Q1,Q1,1648485180,,,,
EU,64GB,1626512299,Q1,Q2,1649356328,,,,
EU,64GB,1626518984,Q1,Q2,1649694755,,,,
EU,64GB,1626519900,Q1,Q2,1649701800,,,,
EU,64GB,1626522051,Q1,Q2,1649953920,,,,
EU,64GB,1626534019,Q1,Q2,1650559500,,,,
EU,64GB,1626539305,Q1,Q2,1650563327,,,,
EU,64GB,1626596053,Q1,Q2,1651768260,,,,
EU,64GB,1626599014,Q1,Q2,1651768260,,,,
EU,64GB,1626613067,Q1,Q2,1652373154,,,,
EU,64GB,1626632329,Q1,Q2,1652718700,,,,
EU,256GB,1626455732,Q1,Q1,1646678480,,,,
EU,256GB,1626456516,Q1,Q1,1647880560,,,,
EU,256GB,1626457298,Q1,Q1,1648485420,,,,
EU,256GB,1626457600,Q1,Q1,1648485480,,,,
EU,256GB,1626457646,Q1,Q1,1648485480,,,,
EU,256GB,1626458163,Q1,Q2,1649090460,,,,
EU,256GB,1626458175,Q1,Q2,1649090280,,,,
