,Region,Model,Timestamp,ValveEstimate
0,2.0,1.0,1626454969,0.0
6,0.0,2.0,1626454854,0.0
11,2.0,2.0,1626455651,1.0
30,0.0,1.0,1626468720,1.0
34,1.0,1.0,1626455083,0.0
62,0.0,1.0,1626459350,1.0
63,0.0,0.0,1626464450,0.0
68,0.0,0.0,1626479275,0.0
71,0.0,1.0,1626458950,1.0
90,2.0,1.0,1626456112,1.0
101,0.0,2.0,1626455384,0.0
121,0.0,1.0,1626459899,1.0
131,0.0,1.0,1626977521,1.0
228,2.0,0.0,1626456507,1.0
280,0.0,1.0,1626464217,1.0
377,2.0,2.0,1626454845,0.0
408,2.0,2.0,1626455516,1.0
423,1.0,0.0,1626461144,1.0
453,0.0,1.0,1626459908,1.0
461,2.0,2.0,1626455001,0.0
500,2.0,2.0,1626455531,1.0
504,0.0,1.0,1626454820,0.0
569,2.0,1.0,1626456000,1.0
571,2.0,2.0,1626455592,1.0
573,0.0,2.0,1626459386,1.0
575,0.0,2.0,1626455281,0.0
608,2.0,1.0,1626455629,1.0
610,2.0,2.0,1626455225,0.0
617,2.0,0.0,1626457670,1.0
619,2.0,0.0,1626455740,0.0
624,0.0,2.0,1626458743,1.0
627,2.0,0.0,1626455638,0.0
635,0.0,1.0,1626464171,1.0
674,0.0,2.0,1626462001,1.0
685,0.0,1.0,1626463479,1.0
688,0.0,1.0,1626459421,1.0
700,0.0,2.0,1626459398,1.0
759,2.0,1.0,1626455090,0.0
765,1.0,2.0,1626454855,0.0
781,0.0,2.0,1626457295,1.0
809,1.0,2.0,1626455250,1.0
838,1.0,0.0,1626463961,1.0
868,2.0,2.0,1626455626,1.0
1023,0.0,0.0,1626455596,0.0
1067,2.0,1.0,1626454947,0.0
1070,2.0,0.0,1626454833,0.0
1122,0.0,2.0,1626457054,1.0
1127,2.0,2.0,1626454853,0.0
1129,2.0,2.0,1626455257,1.0
1149,2.0,2.0,1626454855,0.0
1158,1.0,2.0,1626454854,0.0
1164,0.0,1.0,1626454999,0.0
1173,0.0,2.0,1626454813,0.0
1185,0.0,2.0,1626455557,0.0
1194,2.0,2.0,1626454815,0.0
1215,2.0,2.0,1626455593,1.0
1240,1.0,2.0,1626455269,1.0
1244,0.0,1.0,1626456516,0.0
1248,0.0,1.0,1626461401,1.0
1265,0.0,1.0,1626458412,1.0
1287,2.0,2.0,1626455522,1.0
1294,0.0,2.0,1626456176,0.0
1298,0.0,0.0,1626459131,0.0
1334,2.0,0.0,1626458631,1.0
1348,0.0,2.0,1626459426,1.0
1356,2.0,1.0,1626455884,1.0
1375,2.0,1.0,1626455223,0.0
1379,0.0,1.0,1626455222,0.0
1470,0.0,1.0,1626455732,0.0
1493,0.0,0.0,1626465762,0.0
1514,2.0,2.0,1626458400,0.0
1520,2.0,1.0,1626456352,1.0
1526,0.0,1.0,1626457646,0.0
1535,0.0,2.0,1626455671,0.0
1536,2.0,1.0,1626455130,0.0
1541,1.0,2.0,1626455501,1.0
1547,2.0,1.0,1626455243,0.0
1553,2.0,1.0,1626455653,1.0
1554,0.0,2.0,1626463535,1.0
1580,0.0,1.0,1626455592,0.0
1584,2.0,2.0,1626454997,0.0
1586,2.0,2.0,1626455221,0.0
1588,2.0,2.0,1626454966,0.0
1607,0.0,1.0,1626455765,0.0
1609,2.0,2.0,1626454855,0.0
1617,1.0,2.0,1626454989,0.0
1620,1.0,2.0,1626454970,0.0
1624,0.0,2.0,1626457293,1.0
1628,0.0,2.0,1626455537,0.0
1629,1.0,2.0,1626455001,0.0
1630,2.0,2.0,1626454992,0.0
1635,2.0,2.0,1626455240,1.0
1642,0.0,2.0,1626455900,0.0
1659,2.0,2.0,1626455390,1.0
1667,1.0,2.0,1626455532,1.0
1669,0.0,1.0,1626459138,0.0
1676,2.0,1.0,1626455226,0.0
1691,0.0,1.0,1626462017,1.0
1707,2.0,2.0,1626454990,0.0
1725,2.0,2.0,1626455506,1.0
1728,2.0,2.0,1626455582,1.0
1741,0.0,1.0,1626462923,1.0
1769,0.0,2.0,1626455591,0.0
1770,0.0,2.0,1626455755,0.0
1778,2.0,1.0,1626455659,1.0
1792,2.0,2.0,1626455224,0.0
1865,2.0,1.0,1626455389,0.0
1882,1.0,0.0,1626457298,1.0
1896,0.0,1.0,1626458423,1.0
1900,2.0,2.0,1626455286,1.0
1908,0.0,1.0,1626458727,1.0
1956,0.0,1.0,1626460536,1.0
1996,2.0,1.0,1626455037,0.0
2009,0.0,1.0,1626464545,1.0
2028,0.0,2.0,1626459135,1.0
2030,0.0,1.0,1626457600,0.0
2041,2.0,2.0,1626455225,0.0
2068,2.0,1.0,1626455664,1.0
2111,2.0,1.0,1626455232,0.0
2128,1.0,0.0,1626459883,1.0
2133,2.0,1.0,1626455906,1.0
2134,0.0,2.0,1626459142,1.0
2139,2.0,1.0,1626455918,1.0
2140,2.0,1.0,1626456351,1.0
2156,2.0,2.0,1626455216,0.0
