,0,1,2,Reserve Time
831,,,,1626459134.0
54,0.0,0.0,0.0,
842,,,,1626458425.0
33,0.0,0.0,0.0,
818,,,,1626460478.0
48,0.0,0.0,0.0,
46,0.0,0.0,0.0,
841,,,,1626458574.0
31,0.0,0.0,0.0,
801,,,,1626462816.0
807,,,,1626462004.0
10,0.0,0.0,0.0,
32,0.0,0.0,0.0,
828,,,,1626459388.0
19,0.0,0.0,0.0,
866,,,,1626456507.0
27,0.0,0.0,0.0,
36,0.0,0.0,0.0,
840,,,,1626458609.0
39,0.0,0.0,0.0,
817,,,,1626460500.0
838,,,,1626458722.0
859,,,,1626457261.0
40,0.0,0.0,0.0,
835,,,,1626458740.0
813,,,,1626460544.0
837,,,,1626458727.0
23,0.0,0.0,0.0,
34,0.0,0.0,0.0,
863,,,,1626456725.0
851,,,,1626457669.0
4,0.0,0.0,0.0,
854,,,,1626457662.0
15,0.0,0.0,0.0,
848,,,,1626457833.0
41,0.0,0.0,0.0,
51,0.0,0.0,0.0,
45,0.0,0.0,0.0,
857,,,,1626457286.0
52,0.0,0.0,0.0,
26,0.0,0.0,0.0,
865,,,,1626456519.0
43,0.0,0.0,0.0,
24,0.0,0.0,0.0,
821,,,,1626460469.0
832,,,,1626459134.0
49,0.0,0.0,0.0,
21,0.0,0.0,0.0,
3,0.0,0.0,0.0,
30,0.0,0.0,0.0,
47,0.0,0.0,0.0,
847,,,,1626457860.0
8,0.0,0.0,0.0,
808,,,,1626461948.0
0,0.0,0.0,0.0,
855,,,,1626457522.0
805,,,,1626462349.0
22,0.0,0.0,0.0,
811,,,,1626461447.0
814,,,,1626460530.0
7,0.0,0.0,0.0,
862,,,,1626456963.0
13,0.0,0.0,0.0,
819,,,,1626460477.0
850,,,,1626457670.0
14,0.0,0.0,0.0,
29,0.0,0.0,0.0,
28,0.0,0.0,0.0,
11,0.0,0.0,0.0,
839,,,,1626458631.0
18,0.0,0.0,0.0,
20,0.0,0.0,0.0,
50,0.0,0.0,0.0,
25,0.0,0.0,0.0,
6,0.0,0.0,0.0,
824,,,,1626459898.0
830,,,,1626459356.0
1,0.0,0.0,0.0,
16,0.0,0.0,0.0,
815,,,,1626460530.0
834,,,,1626459090.0
5,0.0,0.0,0.0,
829,,,,1626459374.0
9,0.0,0.0,0.0,
826,,,,1626459840.0
12,0.0,0.0,0.0,
864,,,,1626456608.0
37,0.0,0.0,0.0,
